inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,666200,2023,2,3,4,9,1,3.58,1.21,3.55,10.48,2.77,3.72,0.299,3.96,0.6,0.4166666666666667,0.4054054054054054,0.1458333333333333,0.2083333333333333,False,0
1,669302,2023,5,3,2,9,2,3.73,1.08,3.85,8.92,1.7,3.76,0.271,3.69,0.2,0.2564102564102564,0.5,0.1794871794871795,0.0769230769230769,True,0
1,656756,2023,5,2,6,9,0,3.2,1.19,3.56,7.92,2.29,4.01,0.28,3.98,0.3,0.3111111111111111,0.3513513513513513,0.1777777777777777,0.1111111111111111,False,1
1,543243,2023,4,0,8,9,1,2.79,1.15,2.83,8.95,2.69,3.64,0.2789999999999999,3.66,0.2,0.2682926829268293,0.2307692307692307,0.3414634146341463,0.048780487804878,False,1
1,554430,2023,8,2,5,9,5,3.61,1.08,3.15,9.94,1.83,3.54,0.275,3.18,0.2,0.2682926829268293,0.2777777777777778,0.2195121951219512,0.073170731707317,False,1
1,675911,2023,7,1,4,9,4,3.86,1.09,2.85,13.55,2.8,2.92,0.3379999999999999,3.09,0.4,0.3043478260869565,0.5121951219512195,0.2826086956521739,0.0652173913043478,True,1
1,656302,2023,6,0,11,9,0,4.58,1.42,3.72,10.88,4.02,4.08,0.291,4.1,0.6,0.3584905660377358,0.4693877551020408,0.1886792452830188,0.0754716981132075,True,0
1,518876,2023,4,2,5,9,2,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.7,0.3962264150943396,0.3953488372093023,0.2452830188679245,0.1886792452830188,True,1
1,664285,2023,4,5,10,9,7,3.45,1.13,3.5,9.09,2.59,3.39,0.281,4.3,1.6,0.4590163934426229,0.6122448979591837,0.1639344262295081,0.1311475409836065,False,1
1,641154,2023,5,1,7,9,3,3.66,1.15,3.33,10.86,2.23,3.28,0.301,3.0,0.2,0.25,0.2105263157894736,0.325,0.05,False,1
1,641540,2023,4,3,2,9,3,3.7,1.26,4.27,7.3,2.87,4.39,0.2739999999999999,4.48,0.6,0.3404255319148936,0.4358974358974359,0.1914893617021276,0.1063829787234042,False,0
1,605135,2023,6,0,8,10,2,3.6,1.18,4.28,8.37,2.66,4.21,0.28,4.04,0.5,0.275,0.4857142857142857,0.375,0.1,True,1
1,592836,2023,5,1,4,9,2,4.38,1.31,4.53,7.19,3.7,4.83,0.25,4.36,0.3,0.2857142857142857,0.3243243243243243,0.1904761904761904,0.0714285714285714,False,1
1,669203,2023,2,2,6,11,0,3.39,1.07,3.81,9.29,3.07,3.8,0.292,3.38,0.9,0.3958333333333333,0.7142857142857143,0.25,0.1041666666666666,True,1
1,665152,2023,7,2,3,9,5,4.12,1.31,4.51,8.18,2.87,4.34,0.261,4.93,0.7,0.4081632653061224,0.45,0.1632653061224489,0.1428571428571428,True,1
1,450203,2023,0,2,1,5,0,3.64,1.43,3.87,10.08,4.57,4.27,0.307,4.64,0.5,0.3255813953488372,0.5526315789473685,0.3255813953488372,0.0697674418604651,True,0
1,571578,2023,5,1,1,9,4,5.2,1.48,5.28,6.2,2.85,4.76,0.25,6.16,0.9,0.3617021276595745,0.8409090909090909,0.2127659574468085,0.0638297872340425,False,1
1,571945,2023,9,1,4,9,6,4.78,1.32,4.27,6.12,1.74,4.76,0.25,5.44,0.6,0.4130434782608695,0.4473684210526316,0.1739130434782608,0.1521739130434782,False,1
1,621244,2023,7,0,6,9,3,3.65,1.19,3.99,8.73,2.47,4.01,0.294,4.51,0.7,0.375,0.3181818181818182,0.2678571428571428,0.2142857142857142,True,1
1,543037,2023,2,0,9,9,1,2.63,0.98,3.16,9.56,2.07,3.6,0.2769999999999999,3.48,0.3,0.1714285714285714,0.303030303030303,0.2571428571428571,0.0571428571428571,False,0
1,670912,2023,4,6,5,9,0,4.31,1.37,4.49,8.0,4.2,4.87,0.265,4.61,0.4,0.3170731707317073,0.5294117647058824,0.1951219512195122,0.0975609756097561,True,1
1,656605,2023,9,2,6,9,6,4.21,1.25,3.8,9.73,2.55,3.7,0.283,4.18,0.4,0.3,0.4848484848484848,0.2,0.1,True,0
1,657006,2023,8,0,6,9,4,3.06,1.17,3.02,9.14,1.87,3.32,0.262,3.5,0.7,0.4117647058823529,0.4772727272727273,0.2745098039215686,0.1176470588235294,False,1
1,621107,2023,6,1,10,9,2,3.5,1.02,3.01,9.42,1.22,3.12,0.302,3.02,0.3,0.25,0.2432432432432432,0.3,0.05,False,1
1,657277,2023,9,2,4,9,3,3.25,1.07,3.16,8.08,1.29,2.95,0.293,3.63,0.8,0.2954545454545454,0.3684210526315789,0.2727272727272727,0.0681818181818181,True,1
1,518876,2023,3,3,5,11,1,3.29,1.19,3.85,9.47,3.5,3.83,0.276,4.1,0.7,0.3404255319148936,0.6829268292682927,0.2340425531914893,0.1063829787234042,False,1
